STD,mean,CoV,average,cwtmean,LOA,skew,ZCR,cwtvar
0.58798,1.1193,3.0867,1.1923,0.017757,0.47805,0.37676,0.84853,0.036258
0.2072,0.74691,5.9461,0.765,0.0077893,0.32355,0.70905,1.0296,0.0029859
0.45803,1.3725,4.9425,1.4181,0.01468,0.34136,0.43934,0.92195,0.019583
0.55691,1.1913,3.4561,1.2383,0.013517,0.13246,0.61279,0.63246,0.023782
0.36046,1.178,4.1275,1.1968,0.0064491,0.75932,0.16058,1.1402,0.0055343
0.46893,1.4115,4.6291,1.4467,0.012343,0.35047,0.48942,0.76158,0.023049
0.51185,1.1198,5.7885,1.176,0.0075684,0.90318,0.20183,0.82462,0.021733
0.61364,1.4075,4.4424,1.4904,0.014492,0.16348,0.40762,0.56569,0.031768
0.59024,1.4161,6.0127,1.4981,0.0038964,0.17917,0.74805,0.76158,0.029628
0.47838,1.3855,4.921,1.4218,0.019122,0.30935,0.56538,0.82462,0.023825
0.46857,1.3834,8.4791,1.4486,0.013097,0.39493,0.23852,0.70711,0.016474
0.6925,1.2822,2.7307,1.375,0.022684,0.16851,0.27547,0.5,0.04876
0.2735,0.64034,3.9888,0.67276,0.01013,0.50213,0.093926,0.98489,0.0057169
0.29461,0.68931,3.652,0.72528,0.0081802,0.76113,0.026824,1.1402,0.0050745
0.23019,0.77326,7.4894,0.79836,0.0084781,0.39727,0.31611,0.5099,0.0036883
0.24209,0.74281,5.7956,0.76984,0.0058929,0.45075,0.3006,0.92195,0.0049404
0.52549,1.265,3.3728,1.3292,0.0086382,0.52444,0.34229,0.42426,0.024998
0.56964,1.075,2.8259,1.1456,0.010008,0.35309,0.24029,0.63246,0.034836
0.26252,0.77016,5.6878,0.7995,0.011958,0.49068,0.36214,0.94868,0.0063206
0.33271,1.1188,4.502,1.1384,0.0060615,0.38184,0.23004,0.78102,0.0069337
0.34237,1.4418,6.7104,1.4631,0.010887,0.42846,0.31667,0.70711,0.0071931
0.18856,1.182,9.5173,1.1892,0.004965,0.6293,0.29333,0.14142,0.0027243
0.20183,1.1093,10.857,1.1213,0.0069904,0.88159,0.18617,1.0296,0.0030822
0.26968,0.82791,4.7914,0.85471,0.0080366,0.21884,0.28125,0.92195,0.0056069
0.21461,0.63435,4.9398,0.65829,0.0050403,0.41342,0.1276,0.9,0.0041225
0.24064,0.61314,4.0938,0.6442,0.0069185,0.74363,0.086131,0.92195,0.0042024
0.37127,1.0016,3.9232,1.0407,0.0095209,0.96289,0.05851,1.063,0.011142
0.29189,0.69129,3.8901,0.73077,0.0058349,0.39417,0.27283,1.0817,0.0076441
0.22776,0.80024,5.8223,0.81949,0.0069685,0.27346,0.12631,0.98489,0.0037174
0.6008,1.1195,3.1005,1.211,0.018747,0.73436,0.18845,0.67082,0.036548
0.5707,1.1126,3.4441,1.1848,0.013422,0.66868,0.21229,0.72111,0.033515
0.51518,1.0698,4.8104,1.1388,0.015738,0.88446,0.1338,0.92195,0.022953
0.54191,1.0422,3.1957,1.1265,0.01818,0.7702,0.13429,0.92195,0.025112
0.47602,0.97202,3.6056,1.0368,0.018954,0.64483,0.38178,0.44721,0.025751
0.48299,1.0769,3.2126,1.1278,0.011811,0.15539,0.70687,0.72801,0.024581
0.16518,0.83999,7.5735,0.84948,0.0063663,0.37405,0.042403,0.53852,0.0020982
0.15877,0.84083,8.6881,0.85094,0.0054751,0.5419,0.19501,0.5,0.0020509
0.18295,0.89363,6.8493,0.90298,0.0071904,0.36448,0.38082,0.72111,0.0032588
0.17777,0.80231,6.6143,0.81352,0.0057543,0.33125,0.089742,0.76158,0.0025794
0.25968,0.91259,4.6748,0.92806,0.0043446,0.19605,0.42887,0.44721,0.0051393
0.3912,1.1936,7.1319,1.2405,0.0098447,0.81855,0.53482,0.7,0.015668
0.45288,1.0312,4.1692,1.0853,0.0096813,0.73524,0.36777,0.7,0.020292
0.51968,1.5299,4.9742,1.5773,0.0089261,0.30006,0.26969,0.22361,0.023314
0.31554,1.3101,6.4399,1.3292,0.0048919,0.21183,0.52217,0.44721,0.0071957
0.19518,0.84689,6.2895,0.85875,0.0062664,0.39853,0.15803,0.64031,0.0029499
0.27256,0.82299,4.9634,0.85227,0.00733,0.47556,0.34974,1.0817,0.0053807
0.37227,1.3763,4.5208,1.3907,0.0055172,0.79184,0.060699,1.0296,0.013863
0.61206,1.2202,3.2884,1.3007,0.01346,0.27791,0.72277,0.76158,0.035384
0.46094,1.4106,5.5773,1.451,0.009166,0.51611,0.83395,0.80623,0.01927
0.18074,0.87983,8.8077,0.89225,0.0039041,0.41057,0.4094,0.72801,0.0024942
0.15896,0.80299,10.364,0.81509,0.0045618,0.39066,0.079536,0.56569,0.0023179
0.15664,0.7792,11.474,0.79171,0.0042271,0.56033,0.39023,0.5099,0.0020878
0.41151,1.1386,4.4435,1.1753,0.011407,0.14869,0.60905,0.36056,0.016192
0.28162,1.2489,9.0755,1.2703,0.0051029,0.27431,0.56664,0.67082,0.007559
0.37113,1.256,5.7302,1.3,0.015585,0.14119,0.8732,0.5831,0.01153
0.5424,1.0341,3.7759,1.0861,0.016761,0.96225,0.13492,0.8,0.027549
0.55654,1.0603,2.7878,1.1155,0.013134,0.29895,0.11526,0.6,0.036068
0.58886,1.4059,5.5406,1.4904,0.019725,0.35102,0.7259,0.70711,0.029301
0.34088,0.97293,3.4585,0.98793,0.0086912,0.60185,0.69502,0.7,0.0078456
0.39751,0.91472,2.8391,0.94165,0.007367,0.71185,0.52165,0.84853,0.014517
0.33803,1.4029,6.5296,1.4278,0.0048093,0.29802,0.38363,0.92195,0.0096425
0.62704,1.061,3.7901,1.1623,0.024027,0.86604,0.47816,0.41231,0.042179
0.79778,1.3157,2.539,1.427,0.013958,0.35702,0.2183,0.8,0.04874
0.60356,1.636,4.1049,1.6814,0.021077,0.58726,0.28168,0.8,0.031944
0.48508,1.171,3.3452,1.2043,0.0058456,0.45614,0.67569,0.72111,0.016
0.19679,0.87731,6.8956,0.89003,0.0067525,0.52859,0.13712,0.67082,0.0033055
0.19784,0.77362,7.2108,0.79143,0.0057372,0.39561,0.16348,0.72111,0.0026567
0.37496,1.2546,4.545,1.2783,0.0070595,0.29113,0.1555,0.76158,0.010081
0.43984,1.1233,3.3456,1.161,0.011142,0.78168,0.22039,1.2728,0.012358
0.25622,0.76819,5.6594,0.79846,0.0034929,0.38578,0.17482,0.98489,0.0053582
0.18867,0.8392,7.2569,0.85263,0.0083806,0.25033,0.36806,0.64031,0.0035013
0.15977,0.79488,8.2729,0.80553,0.0050817,0.38622,0.3706,0.72801,0.0023229
0.1826,0.77074,7.0716,0.78434,0.0038986,0.64754,0.1747,0.98995,0.002554
0.17244,0.76992,7.3409,0.78334,0.0058297,0.63262,0.16783,0.7,0.0022743
0.16628,0.79745,7.5743,0.80879,0.0060806,0.87801,0.091846,0.8,0.0020954
0.1744,0.76151,6.4416,0.77403,0.0036165,0.7981,0.12318,0.9,0.0024084
0.31706,1.2787,6.3406,1.3012,0.0045187,0.092256,0.43724,0.70711,0.0087832
0.27533,1.2865,6.4027,1.2902,0.0098892,0.64705,0.42493,0.5,0.0069826
0.1729,0.90338,9.1167,0.91265,0.0041979,0.21248,0.26993,0.5,0.002121
0.16465,0.80415,6.8985,0.81345,0.0053877,0.7391,0.093636,0.63246,0.0021558
0.18751,0.78665,6.2775,0.80004,0.0076208,0.6976,0.31729,0.64031,0.0029681
0.22762,0.82239,6.1371,0.84138,0.0089307,0.3165,0.30766,0.64031,0.0047287
0.1755,0.78146,7.1857,0.79419,0.0061916,0.93567,0.069352,0.72801,0.0023182
0.15569,0.78026,7.0236,0.78917,0.0059601,0.89413,0.12211,0.9,0.002109
0.17434,0.81172,8.3676,0.8252,0.0060987,0.53981,0.16431,0.72801,0.0023751
0.20197,0.76055,7.6243,0.78013,0.0038172,0.74306,0.31511,0.72801,0.0032733
0.23455,0.80973,5.0546,0.828,0.0079114,0.39492,0.16204,0.86023,0.0054748
0.18928,0.79164,6.0931,0.8053,0.0061218,0.55571,0.15071,0.72111,0.0026122
0.19882,0.83625,5.8166,0.84831,0.0070022,0.41759,0.3723,0.44721,0.0037173
0.16427,0.85086,8.022,0.86013,0.0066889,0.41012,0.32699,0.5,0.0023473
0.15569,0.89641,10.199,0.90444,0.0045587,0.36158,0.10722,0.44721,0.0022612
0.18669,0.81815,6.0089,0.82908,0.006703,0.40065,0.13209,0.41231,0.0028845
0.25253,0.8466,5.3971,0.86958,0.0087447,0.50878,0.22232,0.80623,0.0063965
0.46873,1.1079,3.0398,1.1512,0.02064,0.83293,0.22174,1.0296,0.021046
0.19916,0.66107,5.6441,0.68079,0.0068754,0.40644,0.49611,0.7,0.0028165
0.21876,0.67866,5.0849,0.699,0.0054681,0.64781,0.20807,0.6,0.0040576
0.23519,0.76078,5.2494,0.78604,0.0040586,0.66597,0.21469,0.3,0.00485
0.60006,1.1755,2.7658,1.2477,0.010143,0.39747,0.45698,0.56569,0.03528
0.5419,1.5153,4.1782,1.5445,0.01146,0.9316,0.22614,0.9,0.023785
0.6219,1.6794,4.1332,1.7155,0.02218,0.52281,0.25707,0.9,0.029991
0.55829,1.6935,4.6989,1.7252,0.017304,0.572,0.36903,0.9,0.024606
0.61966,1.5643,4.8694,1.6322,0.01039,0.31296,0.45789,0.5,0.03642
0.72327,1.3287,4.2644,1.4527,0.0035239,0.049828,0.42092,0.76158,0.051331
0.19069,0.81168,7.1924,0.82629,0.0046604,0.53152,0.080201,0.7,0.0027708
0.21697,0.9824,7.2918,0.9945,0.0049091,0.53092,0.10837,0.3,0.0030955
0.19494,1.1218,10.067,1.1312,0.0027704,0.38162,0.64536,0.80623,0.0030985
0.59788,0.97641,2.5273,1.0786,0.013997,0.48639,0.21588,0.67082,0.023879
0.59592,0.80976,2.3191,0.91054,0.025422,0.82844,0.14524,0.5,0.030728
0.74039,1.2148,2.3609,1.3365,0.023941,0.29447,0.03945,0.41231,0.037501
0.54821,1.1405,3.2008,1.2187,0.0074651,0.6975,0.53357,0.22361,0.01665
0.59057,1.5575,3.8409,1.5954,0.026449,0.55984,0.46213,0.7,0.034977
0.60979,1.8455,5.3194,1.8848,0.012145,0.68911,0.63907,0.4,0.026537
0.52789,1.242,3.9559,1.3108,0.017718,0.68543,0.54214,0.5,0.028422
0.52051,1.3955,4.0785,1.4502,0.01232,0.71601,0.32368,0.82462,0.023766
0.56556,0.85042,2.4657,0.94685,0.017477,0.63141,0.13395,0.7,0.026793
0.66654,1.1229,2.4189,1.2019,0.012008,0.8389,0.14537,0.8,0.035203
0.57181,1.1743,3.5521,1.2648,0.0056994,1.0337,0.29965,0.53852,0.023231
0.54356,1.1002,2.8431,1.1562,0.0046599,0.50221,0.16243,0.72801,0.012441
0.22723,0.80385,4.8618,0.82057,0.0035227,0.27922,0.33269,0.42426,0.0061302
